WMO,height_IGB,name,height_old
4420,2646.7529,NASA_E,2631
4422,3248.5378,Summit,3254
4425,2115.3877,TUNU-N,2113
4430,963.0302,Peterman,944
4432,1986.0472,Humboldt,1995
4436,2483.2778,NEEM,2454
4437,1895.6804,GITS,1887
4438,2712.5366,EGRIP,2600
4443,2360.3076,NASA-U,2369
4458,1155.9163,SwissCamp,1149
4464,2153.0862,DYE-II,2165
4485,2512.9883,Saddle,2559
4489,588.6146,KULU,878
4492,2926.9119,South Dome,2922
