site,lat,lon,elev
106,69.559549265,-49.35347498694444,1152.40
120,69.55899546666667,-49.33424305611111,1141.83
121,69.56586260583333,-49.330871226944446,1139.47
122,69.56110977916667,-49.33792073138889,1140.94
