site,lat,lon,elev
106,69.56507585916667,-49.33160670944444,1153.02
120,69.5646126775,-49.31145095555556,1166.69
121,69.57141448555555,-49.30833191138889,1168.79
122,69.56662384472222,-49.31533028388889,1163.34
ST200,69.5074673911111,-49.65419892222222,1001.84
ST201,69.50467056666666,-49.6410288,989.26
ST202,69.5047011475,-49.66749552416667,983.90
ST203,69.51288889305556,-49.6543454575,1006.11
