jdy,elev
1997.3671232876711,2878.7942007629395
2021.041095890411,
2021.1260273972603,
2021.2027397260274,
2021.2876712328766,
2021.3698630136987,
2021.454794520548,
2021.5369863013698,2892.91
2021.6219178082192,2891.73
2021.7068493150684,2890.79
2021.7890410958903,2891.02
2021.8739726027397,2889.86
2021.9561643835616,2889.34
2022.041095890411,2888.69
2022.1260273972603,2889.58
2022.2027397260274,2890.55
2022.2876712328766,2891.92
2022.3698630136987,2892.5
2022.454794520548,2891.78
2022.5369863013698,2891.03
2022.6219178082192,2890.35
2022.7068493150684,2890.66
2022.7890410958903,2891.34
2022.8739726027397,2889.9
2022.9561643835616,2888.98
2023.041095890411,2889.57
2023.1260273972603,2890.84
2023.2027397260274,2892.07
2023.2876712328766,2892.57
2023.3698630136987,2893.7
2023.454794520548,2895.12
2023.5369863013698,2895.96
2023.6219178082192,2895.82
2023.7068493150684,2894.58
2023.7890410958903,2895.54
2023.8739726027397,
2023.9561643835616,
