jdy,elev
2011.345205479452,2448.772500091553
2019.295890410959,2447.952500091553
2021.041095890411,
2021.1260273972603,
2021.2027397260274,
2021.2876712328766,
2021.3698630136987,
2021.454794520548,
2021.5369863013698,
2021.6219178082192,2451.78
2021.7068493150684,2451.71
2021.7890410958903,2451.4
2021.8739726027397,2451.12
2021.9561643835616,
2022.041095890411,
2022.1260273972603,
2022.2027397260274,
2022.2876712328766,
2022.3698630136987,
2022.454794520548,
2022.5369863013698,2451.08
2022.6219178082192,2449.89
2022.7068493150684,2449.95
2022.7890410958903,2449.45
2022.8739726027397,2448.26
2022.9561643835616,
2023.041095890411,
2023.1260273972603,
2023.2027397260274,
2023.2876712328766,
2023.3698630136987,2450.85
2023.454794520548,2450.86
2023.5369863013698,2452.08
2023.6219178082192,2451.95
2023.7068493150684,2451.44
2023.7890410958903,2450.83
2023.8739726027397,
2023.9561643835616,
