jdy,elev
2002.4246575342465,2457.3698007019043
2005.3753424657534,2458.2713007019042
2007.358904109589,2458.0304007019045
2010.3506849315067,2458.7786007019045
2011.3150684931506,2460.2316007019044
2017.358904109589,2460.456700701904
2018.3260273972603,2461.0877007019044
2019.372602739726,2460.8721007019044
2021.041095890411,
2021.1260273972603,
2021.2027397260274,
2021.2876712328766,
2021.3698630136987,
2021.454794520548,
2021.5369863013698,
2021.6219178082192,
2021.7068493150684,
2021.7890410958903,
2021.8739726027397,
2021.9561643835616,
2022.041095890411,
2022.1260273972603,
2022.2027397260274,
2022.2876712328766,
2022.3698630136987,
2022.454794520548,
2022.5369863013698,2470.34
2022.6219178082192,2469.3
2022.7068493150684,2468.82
2022.7890410958903,
2022.8739726027397,
2022.9561643835616,
2023.041095890411,
2023.1260273972603,
2023.2027397260274,
2023.2876712328766,
2023.3698630136987,
2023.454794520548,
2023.5369863013698,2473.03
2023.6219178082192,2471.14
2023.7068493150684,2470.7
2023.7890410958903,2471.09
2023.8739726027397,
2023.9561643835616,
