jdy,elev
1997.3671232876711,2107.3689991149904
1998.4931506849316,2109.47559911499
2002.4164383561645,2111.8551991149902
2005.3808219178081,2111.99159911499
2006.4164383561645,2112.0604991149903
2008.5655737704917,2111.4833991149903
2010.3698630136987,2112.8178991149903
2011.2986301369863,2109.72789911499
2012.27868852459,2113.25739911499
2014.2602739726028,2112.3156991149904
2015.2767123287672,2111.95719911499
2018.309589041096,2112.37449911499
2021.041095890411,
2021.1260273972603,
2021.2027397260274,
2021.2876712328766,
2021.3698630136987,
2021.454794520548,
2021.5369863013698,
2021.6219178082192,
2021.7068493150684,
2021.7890410958903,
2021.8739726027397,
2021.9561643835616,
2022.041095890411,
2022.1260273972603,
2022.2027397260274,
2022.2876712328766,
2022.3698630136987,
2022.454794520548,
2022.5369863013698,2122.04
2022.6219178082192,2121.81
2022.7068493150684,2120.65
2022.7890410958903,2120.65
2022.8739726027397,2119.6
2022.9561643835616,2119.44
2023.041095890411,2119.67
2023.1260273972603,2121.77
2023.2027397260274,2122.53
2023.2876712328766,2121.74
2023.3698630136987,2121.4
2023.454794520548,2122.97
2023.5369863013698,2122.56
2023.6219178082192,2122.45
2023.7068493150684,2121.48
2023.7890410958903,2122.84
2023.8739726027397,
2023.9561643835616,
