jdy,elev
2006.4164383561645,2368.569801678467
2021.041095890411,
2021.1260273972603,
2021.2027397260274,
2021.2876712328766,
2021.3698630136987,
2021.454794520548,
2021.5369863013698,2384.44
2021.6219178082192,2383.88
2021.7068493150684,2383.57
2021.7890410958903,2383.15
2021.8739726027397,2382.5
2021.9561643835616,2382.0
2022.041095890411,2382.2
2022.1260273972603,2382.56
2022.2027397260274,2383.39
2022.2876712328766,2384.02
2022.3698630136987,2384.75
2022.454794520548,2384.3
2022.5369863013698,2384.67
2022.6219178082192,2384.2
2022.7068493150684,2383.95
2022.7890410958903,2383.66
2022.8739726027397,2382.69
2022.9561643835616,2382.36
2023.041095890411,2383.06
2023.1260273972603,
2023.2027397260274,
2023.2876712328766,
2023.3698630136987,
2023.454794520548,2390.22
2023.5369863013698,2388.81
2023.6219178082192,2389.0
2023.7068493150684,2387.07
2023.7890410958903,2386.89
2023.8739726027397,
2023.9561643835616,
