jdy,elev
1997.3945205479451,2663.0785002441407
1999.3972602739725,2663.3394002441405
2014.3698630136987,2663.1120002441407
2019.295890410959,2663.4304002441404
2021.041095890411,2659.61
2021.1260273972603,2658.89
2021.2027397260274,2658.21
2021.2876712328766,2659.32
2021.3698630136987,2660.29
2021.454794520548,2661.12
2021.5369863013698,2661.07
2021.6219178082192,2660.48
2021.7068493150684,2661.1
2021.7890410958903,2660.17
2021.8739726027397,2659.76
2021.9561643835616,2660.55
2022.041095890411,2659.37
2022.1260273972603,2661.11
2022.2027397260274,2665.82
2022.2876712328766,2663.06
2022.3698630136987,2664.48
2022.454794520548,2667.12
2022.5369863013698,2666.2
2022.6219178082192,2664.44
2022.7068493150684,2664.33
2022.7890410958903,2665.12
2022.8739726027397,2668.64
2022.9561643835616,2665.54
2023.041095890411,2664.62
2023.1260273972603,2666.15
2023.2027397260274,2665.16
2023.2876712328766,2667.68
2023.3698630136987,2667.2
2023.454794520548,2667.35
2023.5369863013698,2667.65
2023.6219178082192,2667.98
2023.7068493150684,2665.33
2023.7890410958903,2665.45
2023.8739726027397,
2023.9561643835616,
