jdy,elev
1999.3616438356164,2074.0313984130858
2002.3945205479451,2074.128598413086
2011.3534246575343,2073.874898413086
2013.317808219178,2074.217698413086
2014.3506849315067,2068.267598413086
2015.345205479452,2073.972298413086
2019.309589041096,2074.551898413086
2021.041095890411,
2021.1260273972603,
2021.2027397260274,
2021.2876712328766,
2021.3698630136987,
2021.454794520548,
2021.5369863013698,
2021.6219178082192,
2021.7068493150684,
2021.7890410958903,
2021.8739726027397,
2021.9561643835616,
2022.041095890411,
2022.1260273972603,
2022.2027397260274,
2022.2876712328766,
2022.3698630136987,
2022.454794520548,2078.39
2022.5369863013698,2077.97
2022.6219178082192,2077.01
2022.7068493150684,2076.67
2022.7890410958903,2076.4
2022.8739726027397,2075.24
2022.9561643835616,
2023.041095890411,
2023.1260273972603,
2023.2027397260274,2078.84
2023.2876712328766,2078.45
2023.3698630136987,2078.8
2023.454794520548,2079.14
2023.5369863013698,2079.04
2023.6219178082192,2078.89
2023.7068493150684,2077.4
2023.7890410958903,2077.4
2023.8739726027397,
2023.9561643835616,
