jdy,elev
1995.3945205479451,1141.8330997558594
1997.3753424657534,1141.7932997558594
1998.5342465753424,1140.8645997558594
1999.386301369863,1139.6489997558594
2001.4027397260274,1120.0742997558593
2010.3753424657534,1134.3882997558594
2012.3360655737704,1131.0987997558593
2013.2739726027398,1128.4590997558594
2014.2986301369863,1127.1218997558594
2015.3150684931506,1126.8283997558594
2016.6830601092897,1125.4043997558595
2017.331506849315,1124.0571997558593
2018.331506849315,1109.0969997558593
2019.3698630136987,1124.1531997558593
2021.041095890411,1119.37
2021.1260273972603,1119.3
2021.2027397260274,1119.33
2021.2876712328766,1119.64
2021.3698630136987,1119.83
2021.454794520548,1120.42
2021.5369863013698,1120.87
2021.6219178082192,1120.4
2021.7068493150684,1119.4
2021.7890410958903,1119.37
2021.8739726027397,1118.52
2021.9561643835616,1117.63
2022.041095890411,1117.97
2022.1260273972603,1118.91
2022.2027397260274,1120.42
2022.2876712328766,1120.76
2022.3698630136987,1120.17
2022.454794520548,1118.54
2022.5369863013698,1119.97
2022.6219178082192,1119.6
2022.7068493150684,1120.24
2022.7890410958903,1119.99
2022.8739726027397,1118.61
2022.9561643835616,1118.61
2023.041095890411,1118.62
2023.1260273972603,
2023.2027397260274,
2023.2876712328766,
2023.3698630136987,
2023.454794520548,
2023.5369863013698,
2023.6219178082192,
2023.7068493150684,
2023.7890410958903,
2023.8739726027397,
2023.9561643835616,
