latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
69.49533070833334,-49.701636855555556,955.8955,0.00000,302,2009,-102914.685
69.49532215555557,-49.701651063888896,952.8684,0.00833,302,2009,-155917.480
69.49531947222222,-49.70165058333333,952.6665,0.01667,302,2009,-208898.534
69.49531998055555,-49.70165290833334,953.2964,0.02500,302,2009,-261862.377
69.49532290833334,-49.701659991666666,953.0173,0.03333,302,2009,-314813.635
69.49532407777778,-49.70166822777778,953.0548,0.04167,302,2009,-367748.766
69.49532445,-49.701668566666676,953.0096,0.05000,302,2009,-420670.038
69.495324075,-49.7016635388889,952.9296,0.05833,302,2009,-473575.728
69.49532420277778,-49.701661594444445,952.7669,0.06667,302,2009,473535.762
69.49532416666666,-49.70166158611112,952.7578,0.07500,302,2009,420659.623
69.49532347777776,-49.70166169166667,952.8763,0.08333,302,2009,367798.939
69.49532351111111,-49.70166215555556,952.8919,0.09167,302,2009,314951.945
69.49532332222222,-49.701661758333344,952.8939,0.10000,302,2009,262118.457
69.4953232,-49.7016609888889,952.8911,0.10833,302,2009,209297.937
69.49532345555555,-49.70166116944445,952.8705,0.11667,302,2009,156489.872
69.49532327222222,-49.70166076666667,952.8839,0.12500,302,2009,103694.825
69.49532311666667,-49.70166032500001,952.8813,0.13333,302,2009,50912.481
69.49532280833333,-49.701660486111116,952.9195,0.14167,302,2009,-1857.864
69.49532275277778,-49.70166073333334,952.9342,0.15000,302,2009,-54616.409
69.49532258055555,-49.701661105555566,952.961,0.15833,302,2009,-107362.993
69.49532255,-49.70166055555557,952.936,0.16667,302,2009,-160099.223
69.49532255277778,-49.70166040555556,952.9273,0.17500,302,2009,-212824.948
69.4953227,-49.70165996944446,952.885,0.18333,302,2009,-265540.479
69.49532273888889,-49.70166002222223,952.8752,0.19167,302,2009,-318245.917
69.495322675,-49.70165966944445,952.8692,0.20000,302,2009,-370941.588
69.49532265833334,-49.70165954166667,952.8604,0.20833,302,2009,-423627.495
69.49532247777778,-49.701659025,952.8629,0.21667,302,2009,-476303.464
69.49532240555556,-49.70165937777778,952.8866,0.22500,302,2009,471032.180
