date,site,lon,lat
1990-06-01,Swiss Camp,-49.29394245990523,69.57437885958974
1991-06-01,Swiss Camp,-49.296571653294144,69.57358456495496
1992-06-01,Swiss Camp,-49.29865052663337,69.57315319666367
1993-06-01,Swiss Camp,-49.3012758240899,69.57245138036768
1994-06-01,Swiss Camp,-49.3035043261425,69.57177412210079
1995-06-01,Swiss Camp,-49.30617564484377,69.57119416359606
1996-06-01,Swiss Camp,-49.308690889834644,69.57053936350223
1997-06-01,Swiss Camp,-49.31119926257144,69.56988635247968
1998-06-01,Swiss Camp,-49.31346515604346,69.56930680222972
1999-06-01,Swiss Camp,-49.316216008045046,69.56858033043463
2000-06-01,Swiss Camp,-49.31900351683922,69.56776453639245
2001-06-01,Swiss Camp,-49.32123962577272,69.56727251931827
2002-06-01,Swiss Camp,-49.323747998509525,69.56661950829573
2003-06-01,Swiss Camp,-49.32625637124632,69.5659664972732
2004-06-01,Swiss Camp,-49.3287716162372,69.56531169717935
2005-06-01,Swiss Camp,-49.330811086292776,69.56497303325446
2006-06-01,Swiss Camp,-49.333386810845376,69.56420549748756
2007-06-01,Swiss Camp,-49.3362967344476,69.56335266411175
2008-06-01,Swiss Camp,-49.338543414141135,69.56280797415029
2009-06-01,Swiss Camp,-49.34160524869373,69.56224877088339
2010-06-01,Swiss Camp,-49.34348652824633,69.56155067761648
2011-06-01,Swiss Camp,-49.34606225279894,69.56092203184959
2012-06-01,Swiss Camp,-49.34885234263975,69.56008403085649
2013-06-01,Swiss Camp,-49.351793582938384,69.55927502487253
2014-06-01,Swiss Camp,-49.353869088113356,69.55877800881142
2015-06-01,Swiss Camp,-49.35673669704359,69.55794828583873
2016-06-01,Swiss Camp,-49.359134658286735,69.55731826201836
2017-06-01,Swiss Camp,-49.361401078577835,69.55681718667252
2018-06-01,Swiss Camp,-49.36419124489194,69.55599155923456
2019-06-01,Swiss Camp,-49.36641782405144,69.55551116462746
2020-06-01,Swiss Camp,-49.36893306904231,69.55485636453362
