date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1995-05-24,69.9219,-46.9038,1981.23,2.104,-0.0031,-0.0148
1997-05-17,69.8737,-46.8367,1997.89,4.451,-0.0069,-0.0095
1997-05-17,69.8995,-46.8391,1988.11,1.649,-0.0043,0.0002
1998-06-27,69.9223,-46.9031,1980.83,2.102,-0.0033,-0.0151
1998-06-27,69.9313,-46.9101,1978.84,2.914,-0.0104,-0.0097
1998-06-29,69.8724,-46.805,1988.6,4.927,-0.0103,-0.0058
1998-06-30,69.9221,-46.9027,1980.68,2.074,-0.0037,-0.0147
1998-07-14,69.9218,-46.8669,1971.55,1.051,0.0105,0.0196
1998-07-14,69.911,-46.8454,1982.68,0.437,0.0053,0.0245
1998-07-15,69.9135,-46.8549,1975.01,0.021,0.0028,0.0214
1998-07-17,69.922,-46.9043,1981.52,2.128,-0.003,-0.0147
1999-05-21,69.9061,-46.8446,1982.98,0.885,-0.003,0.015
1999-05-21,69.9133,-46.8549,1974.88,0.006,0.0013,0.0227
1999-05-21,69.926,-46.9041,1979.85,2.351,-0.0046,-0.0127
2001-05-23,69.8889,-46.8561,1996.74,2.717,-0.0039,-0.0056
2003-05-11,69.9196,-46.896,1976.14,1.724,-0.0093,-0.0134
2006-05-28,69.9261,-46.9143,1984.94,2.68,-0.0053,-0.0098
2008-07-11,69.9272,-46.8465,2005.63,1.574,0.0177,0.0326
2008-07-15,69.9129,-46.927,1994.25,2.761,-0.0017,-0.0119
2010-05-07,69.8888,-46.7957,1981.97,3.537,0.0079,0.0077
2011-04-26,69.8963,-46.8101,1987.04,2.546,0.0158,0.0077
2012-04-11,69.8839,-46.7594,1996.33,4.894,0.0106,0.0193
2014-04-10,69.9212,-46.8663,1968.3,0.981,0.0086,0.022
2015-04-09,69.921,-46.8663,1968.2,0.959,0.0083,0.0223
2016-09-13,69.9219,-46.8656,1969.14,1.043,0.0114,0.0231
2016-09-13,69.9042,-46.7279,2028.56,4.946,0.0148,0.0047
2017-05-06,69.9217,-46.8668,1968.01,1.038,0.0101,0.0206
2019-05-07,69.9025,-46.7276,2026.08,4.998,0.014,0.0065
2019-05-12,69.9134,-46.8544,1971.63,0.018,0.0042,0.0245
2019-05-12,69.9268,-46.7929,2038.42,2.795,0.0007,0.0044
