,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2015.0,4.0,25.0,1157.8974,0.11273778043548692,0.0130501,0.0022575,69.55636,-49.366624
2,Crawford Point 1,2015.0,4.0,9.0,1987.2426,1.7492390003884504,0.0058996,0.0069075,69.887723,-47.04762299999993
3,CP2,2015.0,4.0,9.0,1968.2015,0.9589678918261018,0.0082548,0.0222806,69.92096,-46.866273999999976
4,JAR1,2015.0,4.0,21.0,936.0194,0.46846102657738203,0.0228312,0.0066488,69.493229,-49.70216800000003
5,JAR2,2015.0,4.0,25.0,520.4076,0.01564949601621394,0.0204426,0.0165604,69.420136,-50.057395999999926
6,JAR3,2015.0,4.0,25.0,261.4826,0.02383877559288192,0.0246418,-0.0246738,69.39421,-50.31028300000003
7,NASA-U,2015.0,5.0,12.0,2341.8711,9.981445883149577,-0.0021102,0.0056394,73.920087,-49.67784400000005
8,GITS,2015.0,5.0,1.0,1897.5809,0.3508266679479047,0.0036488,0.0033962,77.140855,-61.037522999999965
9,Humboldt,2015.0,5.0,5.0,1986.7935,0.010386278631320564,-0.0016703,0.0048539,78.52838,-56.84205700000007
10,Summit,2015.0,4.0,9.0,3249.2868,0.030622094744245622,-0.0003553,0.0020507,72.579824,-38.503678000000036
11,Tunu-N,2015.0,5.0,6.0,2111.7333,0.12701462578321218,-0.0061867,-0.0025536,78.019913,-33.965547000000015
12,DYE-2,2015.0,4.0,11.0,2155.0042,0.15451631398184942,-0.0020812,0.0095777,66.48151,-46.287538999999924
13,Saddle,2015.0,4.0,10.0,2488.7829,9.750471972692315,0.0,0.0052416,66.087643,-44.50215000000003
14,South Dome,2015.0,4.0,22.0,2919.2766,3.6685124735590566,-0.002287,0.0037315,63.158421,-44.887494999999944
15,NASA-E,2015.0,5.0,12.0,2474.6913,53.973773627329855,0.002843,0.0018988,74.59769,-28.958879000000024
16,NASA-SE,2015.0,4.0,13.0,2436.8958,4.272833082531381,0.0067321,-0.003743,66.516317,-42.49106699999993
17,NGRIP,2015.0,5.0,12.0,2979.0441,31.046313243253017,-0.0031569,0.0012724,74.837978,-41.95669399999997
18,NEEM,2015.0,5.0,6.0,2490.6568,12.143147236274013,0.0046613,0.0060032,77.50429,-50.68822699999998
19,EastGRIP,2015.0,5.0,12.0,2782.1107,33.78658002474631,-0.0016456,0.0013068,75.334698,-35.64357599999994
20,KAR,2015.0,4.0,24.0,2615.8903,1.7844672417690703,0.0006537,-0.0123668,69.71459,-33.01561800000002
21,KULU,2015.0,4.0,13.0,897.2118,1.8953461322441234,0.0537046,0.0429079,65.744402,-39.578426000000036
22,Aurora,2015.0,4.0,27.0,1811.977,8.692551699365472,0.0037993,0.001536,67.066243,-47.200229000000036
23,Petermann Glacier,2015.0,5.0,5.0,43.1289,9.522588746330367,0.0089285,0.0317482,80.617984,-60.63237800000002
24,Petermann ELA,2015.0,5.0,5.0,969.4244,0.11632787691399255,0.0006676,0.0147219,80.0998,-58.144350999999915
