,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2018.0,5.0,1.0,1140.166,1.8855851278811284,-0.0023847,0.0113942,69.571432,-49.38218299999994
2,Crawford Point 1,2018.0,5.0,1.0,1986.7022,1.8414770089445778,0.0057578,0.0043347,69.888087,-47.050486999999976
3,CP2,2018.0,5.0,1.0,1967.9147,1.0024877387159803,0.0097566,0.0210511,69.921324,-46.86670700000002
4,JAR1,2018.0,4.0,30.0,934.9527,0.45711302606197335,0.0190698,0.005535,69.493098,-49.70247199999994
5,JAR2,2018.0,4.0,30.0,560.5141,3.7104825560593113,0.0098041,-0.0039314,69.417981,-49.962688999999955
6,JAR3,2018.0,5.0,1.0,604.3892,12.430045702886423,0.0115674,0.0031996,69.362633,-50.00547699999993
7,NASA-U,2018.0,4.0,23.0,3225.3251,358.9566889138953,-0.0015966,0.000655,72.780388,-38.88263000000006
8,GITS,2018.0,4.0,19.0,1897.6951,0.3230491137200849,0.0042387,0.0032369,77.140642,-61.03835200000003
9,Humboldt,2018.0,4.0,5.0,1986.917,0.026516167131578533,-0.0019503,0.0033606,78.528401,-56.84338700000001
10,Summit,2018.0,4.0,23.0,3249.5194,0.029384810523102992,0.0005447,0.0012054,72.579458,-38.504144
11,Tunu-N,2018.0,4.0,5.0,1928.5075,510.67524305062665,-0.0037878,0.0017217,78.726084,-56.64822000000004
12,DYE-2,2018.0,4.0,23.0,2155.4215,0.1556204474001057,-0.0011964,0.0105203,66.481418,-46.28760799999998
13,Saddle,2018.0,4.0,29.0,2507.4987,0.09314164548387055,-0.0033903,0.0029349,65.999922,-44.50054
14,South Dome,2018.0,4.0,29.0,2888.5011,11.56339100794055,-0.0032954,0.0052462,63.174673,-45.04080299999998
15,NASA-E,2018.0,4.0,23.0,3264.7693,352.6766294912028,-0.0004315,0.0007497,72.701381,-37.86847399999999
16,NASA-SE,2018.0,4.0,25.0,2436.1755,4.257939002675571,0.0046343,-0.0046016,66.516025,-42.485502999999994
17,NGRIP,2018.0,4.0,23.0,3225.3251,278.60474850943456,-0.0015966,0.000655,72.780388,-38.88263000000006
18,NEEM,2018.0,4.0,5.0,2048.6072,169.22080872053968,-0.0019233,0.0018227,78.314018,-57.04866500000003
19,EastGRIP,2018.0,5.0,1.0,3242.995,322.855304952057,-0.0007082,0.0006884,72.796272,-38.397183999999925
20,KAR,2018.0,4.0,21.0,2612.2149,1.8561773650438174,0.0025189,-0.0108322,69.715921,-33.0077
21,KULU,2018.0,4.0,25.0,893.9552,1.9246772298453587,0.0452526,0.0450165,65.744074,-39.578461999999945
22,Aurora,2018.0,4.0,26.0,1789.8661,11.604804599510256,0.0044302,0.0090468,67.031673,-47.27178200000003
23,Petermann Glacier,2018.0,4.0,5.0,26.7059,0.2652294271581475,-0.0343156,-0.0580004,80.683403,-60.278407000000016
24,Petermann ELA,2018.0,4.0,5.0,972.0415,0.33304887660049354,0.0003908,0.0173973,80.100781,-58.134545
