,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2002.0,5.0,31.0,1129.0796,2.750382428423933,-0.00297266,0.00270806,69.556814,-49.435474
2,Crawford Point 1,2002.0,5.0,31.0,1772.4195,32.54216586678649,-0.00237635,-0.00079996,69.705407,-47.716905999999994
3,CP2,2002.0,5.0,31.0,1772.4195,40.33906650059988,-0.00237635,-0.00079996,69.705407,-47.716905999999994
4,JAR1,2002.0,5.0,31.0,951.6261,0.3484851334090777,0.0103175,0.00403246,69.493258,-49.70524899999998
5,JAR2,2002.0,5.0,31.0,583.502,3.6778835511474144,0.01195645,0.0160419,69.419298,-49.963367999999946
6,JAR3,2002.0,5.0,31.0,201.764,3.2595762859086586,0.03470321,0.08116261,69.365074,-50.31175200000007
7,NASA-U,2002.0,5.0,29.0,2366.5211,0.37940942873411304,-0.00052006,0.00300071,73.843944,-49.52267400000005
8,GITS,2002.0,5.0,29.0,1896.3012,0.19186944346812498,0.00387213,0.00296944,77.137419,-61.03353500000003
9,Humboldt,2002.0,5.0,24.0,2137.5966,43.559214333032514,0.00012236,0.0028873,78.171941,-56.03362100000004
10,Summit,2002.0,5.0,29.0,3248.9802,0.0005462817352102471,0.00046626,0.00105287,72.579702,-38.50448499999993
11,Tunu-N,2002.0,5.0,24.0,2111.8896,0.10569413169428765,-0.00987687,-9.192e-05,78.01785,-33.96702299999993
12,DYE-2,2002.0,6.0,1.0,2154.9022,0.06105354822918623,-0.00137081,0.01096602,66.482136,-46.28946599999995
13,Saddle,2002.0,6.0,4.0,2503.7808,0.589629962945408,-0.00227247,0.00290573,66.005206,-44.50259200000005
14,South Dome,2002.0,6.0,4.0,1946.7666,265.7098440853057,-0.00192315,-0.00800713,65.264612,-42.255059000000074
15,NASA-E,2002.0,5.0,30.0,2895.7727,116.9034025113519,-0.00296482,-0.00455522,74.225338,-32.65799399999992
16,NASA-SE,2002.0,6.0,4.0,2129.82,58.9707289140693,0.00295378,-0.0043409,66.205677,-41.35988099999997
17,NGRIP,2002.0,5.0,18.0,2954.9127,0.739954130275627,-8.677e-05,0.00128958,75.104755,-42.315297999999984
18,NEEM,2002.0,5.0,24.0,2491.7997,11.92629699913084,0.00101978,0.00273167,77.494595,-50.67058300000008
19,EastGRIP,2002.0,5.0,18.0,2772.4283,32.00322829632982,0.00242996,-0.00191177,75.443103,-36.86807399999998
20,KAR,2002.0,6.0,4.0,2668.2647,56.1819860959358,0.00081466,-0.01187305,69.577386,-34.41072099999997
21,KULU,2002.0,6.0,4.0,721.8949,9.333528901525334,0.01125213,-0.03552177,65.696268,-39.73901599999999
22,Aurora,2002.0,6.0,1.0,1751.8282,26.683861600984933,-0.00620034,0.01004811,66.903715,-47.450019999999995
23,Petermann Glacier,2002.0,5.0,28.0,56.8927,0.5095104327145326,-0.00398183,-0.01045958,80.680806,-60.31555300000002
24,Petermann ELA,2002.0,5.0,28.0,969.2992,1.6655729371838897,-0.02011163,0.01335876,80.112192,-58.10520900000006
