date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
2010-05-08,67.122,-47.3555,1764.62,3.133,-0.0002,0.0065
2010-05-15,67.1496,-47.2932,1792.12,1.539,-0.0017,0.0046
2011-04-08,67.1378,-47.1914,1812.62,4.357,-0.0114,0.0054
2012-04-13,67.1067,-47.2862,1782.82,3.249,-0.0026,0.0041
2012-04-28,67.1505,-47.2916,1790.83,1.63,-0.0027,0.004
2013-04-08,67.1099,-47.3038,1777.09,2.921,-0.0058,0.0067
2013-04-11,67.1502,-47.2949,1789.16,1.602,-0.0025,0.0058
2016-09-01,67.0968,-47.2935,1783.59,4.333,-0.0037,0.0034
2016-09-02,67.1738,-47.2339,1805.28,4.912,-0.0003,0.0068
