date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1997-05-15,69.4188,-49.9605,589.85,3.791,0.0068,0.0303
1997-05-15,69.4511,-50.0558,547.06,3.462,0.0294,0.0055
1997-05-17,69.423,-50.0627,553.82,0.392,0.0261,-0.0069
1997-05-17,69.41,-50.0405,558.1,1.298,0.0628,-0.0093
1998-06-27,69.4179,-49.9604,588.22,3.799,0.0305,0.0327
1998-07-14,69.4109,-50.045,554.04,1.127,0.0356,-0.015
2002-05-31,69.4193,-49.9634,583.5,3.678,0.012,0.016
2002-06-01,69.3822,-50.0483,520.41,4.213,-0.0157,-0.0005
2003-05-11,69.4201,-50.0577,544.75,0.019,0.0146,0.0143
2003-05-11,69.4172,-50.0554,537.45,0.325,0.039,0.0478
2005-05-13,69.4199,-49.965,580.21,3.612,0.0021,0.0094
2005-05-13,69.4427,-49.9645,651.12,4.418,0.0552,0.0004
2005-05-14,69.3969,-49.9519,621.73,4.859,-0.0294,-0.0051
2005-05-22,69.4112,-50.0952,511.91,1.769,0.0517,0.0271
2005-05-22,69.4201,-50.0574,541.54,0.014,0.0203,0.004
2005-05-22,69.4393,-49.9641,636.72,4.232,0.0327,0.0146
2005-05-22,69.42,-50.0573,541.23,0.009,0.0181,0.0045
2006-05-27,69.4258,-49.9662,583.8,3.624,0.014,0.0202
2006-05-27,69.4174,-49.9667,576.33,3.56,-0.0047,0.0128
2008-07-02,69.4064,-49.9584,583.59,4.154,0.0122,-0.0138
2008-07-10,69.4214,-49.9645,578.18,3.636,0.0397,-0.0023
2010-05-14,69.419,-49.9629,575.71,3.697,0.0136,0.0103
2010-05-17,69.4201,-50.0574,530.88,0.017,0.0144,0.0202
2011-04-06,69.4197,-49.9614,570.94,3.753,-0.0209,-0.0058
2011-04-16,69.428,-50.0169,565.7,1.819,0.0035,0.0362
2011-04-16,69.3962,-49.9963,581.8,3.564,-0.0455,0.0149
2011-04-23,69.4136,-49.9718,563.64,3.421,0.0339,-0.0185
2011-04-23,69.4142,-49.9728,563.81,3.372,-0.0752,-0.0166
2012-04-21,69.4248,-49.9456,610.52,4.403,0.1228,0.0947
2012-04-21,69.4248,-49.9625,576.15,3.749,0.0186,0.0315
2012-04-21,69.4186,-49.963,568.24,3.695,-0.0024,-0.0137
2012-04-30,69.4195,-49.9706,567.88,3.394,0.0227,0.0202
2012-05-02,69.4129,-50.1125,486.1,2.291,0.054,0.0002
2012-05-02,69.4198,-50.0566,525.82,0.045,0.0146,0.0131
2013-04-04,69.4194,-49.9618,565.98,3.739,-0.0322,0.0135
2013-04-10,69.42,-50.0573,522.53,0.009,0.0091,0.0094
2013-04-10,69.4094,-50.1697,417.2,4.542,-0.0139,0.0374
2014-04-09,69.4211,-49.9622,567.13,3.724,-0.0143,-0.0008
2014-04-10,69.408,-49.9753,564.12,3.478,-0.0492,0.0125
2014-04-14,69.4269,-49.952,610.15,4.188,0.0647,0.0775
2014-04-19,69.4202,-50.0578,521.3,0.027,0.0143,0.0088
2015-04-09,69.414,-49.9786,558.39,3.156,-0.0545,-0.0115
2015-04-21,69.4194,-49.9622,566.06,3.723,0.0034,0.0101
2015-04-23,69.4165,-49.961,561.19,3.79,-0.0041,0.0126
2015-04-25,69.4201,-50.0574,520.41,0.016,0.0204,0.0166
2016-05-16,69.4193,-49.9623,564.46,3.72,0.0036,-0.0091
2016-09-13,69.404,-49.9724,572.22,3.772,0.0093,0.0267
2017-04-29,69.4076,-49.9631,568.16,3.937,0.006,0.0143
2017-04-29,69.4185,-49.9628,562.38,3.703,0.0011,-0.0019
2017-05-06,69.4165,-49.9707,554.0,3.413,0.0236,0.0139
2017-05-06,69.3965,-49.985,574.84,3.852,-0.0626,0.0116
2019-05-06,69.4044,-49.9637,572.88,4.053,-0.0231,0.004
2019-05-06,69.4172,-49.9637,556.93,3.678,0.0216,-0.0068
2019-05-15,69.4198,-50.0576,515.29,0.018,0.0124,0.0155
2019-05-15,69.4295,-49.9927,575.63,2.744,0.0285,0.007
