date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1995-05-24,69.8677,-46.9887,1997.88,1.535,0.0053,0.0034
1997-05-17,69.8529,-46.9775,1992.44,2.968,0.0004,0.013
1997-05-17,69.8751,-47.0254,1991.73,0.106,0.0025,0.0117
1998-06-27,69.8752,-46.9745,2003.08,1.905,0.0038,0.0028
1998-06-27,69.8678,-46.9868,1998.59,1.599,0.0048,0.002
1998-06-29,69.8822,-47.0855,1968.16,2.507,0.0086,0.02
1998-06-30,69.8679,-46.9868,1998.56,1.591,0.0044,0.0029
1998-07-14,69.8949,-47.0192,1999.98,2.31,0.0024,0.0071
1998-07-14,69.8494,-46.9809,2351.95,3.215,-0.3367,-0.0162
1998-07-15,69.8699,-46.9863,1999.41,1.527,0.0032,0.0033
1998-07-17,69.8702,-46.9771,2000.79,1.856,0.0044,0.0028
1999-05-21,69.8745,-47.025,1991.5,0.05,0.0046,0.0125
1999-05-21,69.8721,-47.0194,1992.88,0.294,0.0039,0.0111
1999-05-21,69.8675,-46.9843,1998.6,1.699,0.0043,0.0045
2001-05-23,69.8742,-47.0247,1991.63,0.018,0.0037,0.0125
2001-05-23,69.8684,-47.0084,1995.23,0.886,0.0056,0.0066
2003-05-11,69.8763,-46.9879,2001.46,0.393,0.0022,0.004
2006-05-28,69.8523,-46.9698,1996.43,3.202,-0.0008,0.0128
2006-05-28,69.8772,-46.9763,2004.22,1.863,0.0033,0.0027
2008-06-27,69.8408,-47.0232,1954.58,3.71,0.0076,0.0146
2008-07-15,69.8617,-46.9358,2005.64,3.656,0.0002,0.002
2008-07-15,69.8752,-46.9397,2004.75,3.233,-0.0012,-0.0004
2010-05-14,69.8695,-47.0814,1963.12,2.248,0.0053,0.0166
2011-04-06,69.8706,-47.0811,1963.66,2.677,0.0052,0.0164
2011-04-26,69.8482,-46.9401,2006.65,4.324,-0.0028,0.0023
2012-04-29,69.8696,-47.0818,1962.19,2.262,0.0062,0.0171
2013-04-04,69.8699,-47.079,1962.66,2.454,0.0054,0.0162
2014-04-09,69.8701,-47.0809,1961.41,2.39,0.0046,0.0161
2014-04-10,69.8916,-47.0365,1991.7,1.96,0.0048,0.0061
2015-04-09,69.888,-47.0461,1987.78,1.751,0.0053,0.0053
2015-04-21,69.8699,-47.0819,1960.89,2.257,0.0053,0.0153
2016-05-16,69.8696,-47.0815,1960.8,2.25,0.0055,0.0155
2016-09-09,69.8711,-47.0779,1963.14,2.07,0.0047,0.0143
2016-09-13,69.8875,-47.0341,1989.3,1.523,0.0052,0.0052
2017-04-29,69.87,-47.0817,1960.45,2.249,0.0049,0.017
2017-04-29,69.8973,-47.1001,1966.96,3.876,0.0064,0.0229
2017-05-06,69.8892,-47.0505,1987.34,1.925,0.0065,0.0048
2017-05-06,69.9026,-46.9733,2003.6,3.76,-0.0014,0.0014
2019-05-12,69.8836,-46.9785,2003.06,2.336,0.0015,0.0019
2019-05-12,69.8717,-47.0305,1984.14,0.173,0.0049,0.0126
