date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1995-05-24,69.5178,-49.6883,975.4,2.899,0.0075,0.017
1997-05-13,69.4932,-49.7021,956.09,0.47,0.0313,0.0144
1997-05-15,69.4499,-49.7184,900.66,4.827,-0.005,-0.0219
1997-05-17,69.4928,-49.7135,955.03,0.061,-0.0089,-0.0131
1997-05-17,69.4803,-49.6904,951.23,1.718,-0.0126,0.0238
1998-07-14,69.4776,-49.691,948.82,1.963,0.0214,0.0347
2001-05-27,69.5322,-49.7186,959.92,4.322,0.0109,0.0008
2002-05-31,69.4933,-49.7052,951.63,0.348,0.0103,0.004
2003-05-11,69.4989,-49.6929,957.95,0.235,-0.0131,0.0133
2003-05-11,69.4969,-49.6932,962.59,0.019,-0.0177,0.0104
2005-05-13,69.5181,-49.7069,950.99,2.771,0.0294,0.0376
2005-05-13,69.4935,-49.7029,950.14,0.439,0.0235,0.0103
2005-05-22,69.4877,-49.7306,944.09,0.891,0.0001,0.0324
2005-05-22,69.4924,-49.7106,949.7,0.171,-0.0035,-0.0123
2005-05-22,69.4915,-49.7116,950.28,0.226,0.0091,-0.0176
2006-05-27,69.4931,-49.7081,947.79,0.24,0.0009,-0.0026
2006-05-27,69.4732,-49.7094,911.42,2.245,0.0173,0.0297
2008-06-30,69.5148,-49.7711,913.02,3.254,0.0527,0.022
2008-06-30,69.5161,-49.7073,942.36,2.546,0.0163,0.0341
2008-06-30,69.4547,-49.7777,849.93,4.956,-0.021,-0.0148
2008-07-10,69.4954,-49.7114,943.73,0.44,-0.0019,0.0116
2008-07-10,69.4765,-49.7074,923.21,2.14,0.0447,0.0231
2010-05-14,69.4929,-49.7026,942.87,0.452,0.0209,0.0012
2010-05-14,69.4903,-49.7568,894.88,1.692,-0.017,0.0253
2010-05-17,69.4942,-49.7152,944.24,0.11,-0.0159,-0.005
2011-04-06,69.4908,-49.7565,891.76,2.096,-0.013,0.023
2011-04-06,69.4948,-49.7036,944.19,0.024,0.0185,0.0176
2012-04-21,69.451,-49.7378,871.61,4.786,-0.0293,0.0332
2012-04-21,69.4901,-49.7566,891.15,1.686,-0.0164,0.0276
2012-04-21,69.4933,-49.7021,940.03,0.471,0.0259,0.0095
2012-04-29,69.4895,-49.757,892.07,1.719,-0.0183,0.0283
2012-05-02,69.469,-49.6475,962.02,3.632,0.0008,-0.0085
2012-05-02,69.4557,-49.6599,933.49,4.678,-0.0186,-0.0155
2013-04-04,69.4906,-49.7556,889.45,1.955,-0.0132,0.0293
2013-04-04,69.5042,-49.7664,898.58,2.564,-0.003,0.0051
2013-04-04,69.4946,-49.7053,938.36,0.056,0.0104,0.0161
2013-04-06,69.4586,-49.6685,923.68,4.259,-0.0286,0.0127
2013-04-10,69.4545,-49.6753,924.64,4.599,0.0142,0.0312
2014-04-09,69.4907,-49.7569,888.17,1.91,-0.0113,0.0257
2014-04-09,69.4834,-49.7519,892.64,2.061,0.022,0.049
2014-04-09,69.4941,-49.7029,938.59,0.227,0.0232,0.0131
2014-04-10,69.5379,-49.7287,947.26,4.927,0.0,0.004
2014-04-19,69.4732,-49.6325,943.84,3.885,0.0097,0.0002
2015-04-21,69.4896,-49.7566,889.69,1.702,-0.0133,0.0284
2015-04-21,69.4932,-49.7022,936.02,0.468,0.0228,0.0066
2015-04-21,69.4502,-49.7308,881.68,4.833,-0.0019,0.0365
2015-04-25,69.4536,-49.7108,879.22,4.41,-0.0028,-0.0077
2016-05-16,69.4896,-49.7573,888.55,1.726,-0.0173,0.0286
2016-05-16,69.4929,-49.7035,934.47,0.42,0.0167,0.0008
2016-09-06,69.4952,-49.8309,810.81,4.657,-0.0113,0.0577
2016-09-09,69.4897,-49.7516,892.78,1.613,-0.0183,0.0333
2016-09-09,69.501,-49.7704,894.07,2.425,0.0087,-0.0051
2016-09-09,69.5069,-49.834,846.06,4.979,0.006,0.0357
2016-09-12,69.5078,-49.7679,892.19,2.681,-0.0028,0.022
2016-09-12,69.4951,-49.7602,881.33,1.882,0.0101,0.0131
2016-09-12,69.4924,-49.7084,931.89,0.196,0.0039,-0.0094
2016-09-13,69.503,-49.7378,906.43,1.419,-0.0152,0.0066
2017-04-29,69.49,-49.7568,887.74,1.699,-0.015,0.0266
2017-04-29,69.4933,-49.7025,934.76,0.454,0.0203,0.0081
2017-04-29,69.5216,-49.7776,930.53,4.0,0.0366,0.0527
2017-04-29,69.509,-49.7014,933.7,1.814,0.0225,0.05
2017-05-06,69.5207,-49.7407,922.68,3.211,0.0214,0.0007
2019-05-06,69.4979,-49.7017,941.91,0.771,-0.0151,0.0309
2019-05-06,69.4926,-49.7254,940.04,0.379,0.001,0.007
2019-05-06,69.4918,-49.7022,931.29,0.545,0.0257,-0.0057
2019-05-06,69.5204,-49.7343,924.29,3.135,0.0328,0.0086
2019-05-12,69.4874,-49.663,950.82,2.17,-0.0009,0.0145
2019-05-12,69.4933,-49.6587,951.59,2.249,0.0024,-0.0104
2019-05-15,69.4667,-49.6567,948.82,3.707,0.0355,0.0342
2019-05-15,69.4755,-49.6433,948.61,3.395,-0.0045,-0.008
2019-09-10,69.4904,-49.7244,936.0,0.418,0.0078,0.0067
2019-09-10,69.4963,-49.7263,931.87,0.543,-0.0235,-0.0065
