,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2001.0,5.0,27.0,1151.1433,1.9052224579112025,0.01728183,0.02643544,69.539795,-49.38371499999994
2,Crawford Point 1,2001.0,5.0,23.0,1991.6265,0.01805472740156139,0.00371833,0.01245664,69.874153,-47.02465200000006
3,CP2,2001.0,5.0,23.0,1996.7424,2.7166536697069756,-0.00393643,-0.00557642,69.888858,-46.856109999999944
4,JAR1,2001.0,5.0,27.0,959.9242,4.3220816821794505,0.01087252,0.00080874,69.532163,-49.71862399999998
5,JAR2,2001.0,5.0,27.0,710.2191,6.709874429706255,0.00686091,0.05206273,69.463004,-49.936799000000065
6,JAR3,2001.0,5.0,23.0,240.0751,15.253968794598569,0.01008449,-0.00056091,69.282147,-50.08609200000001
7,NASA-U,2001.0,5.0,27.0,1673.6359,215.18100054859323,0.00752093,0.02283568,71.916972,-50.278479999999945
8,GITS,2001.0,5.0,23.0,3028.6451,632.2873702721581,-2.506e-05,0.00279273,73.974624,-41.88353299999994
9,Humboldt,2001.0,5.0,23.0,3031.0684,637.7709315517392,4.67e-06,0.00160954,73.984157,-41.84436200000005
10,Summit,2001.0,5.0,23.0,3251.9108,2.1499555577478917,-0.00014575,0.00094609,72.566918,-38.456005000000005
11,Tunu-N,2001.0,5.0,23.0,2974.0852,435.51338559096723,-0.00447041,-0.0012716,74.100715,-33.588077999999996
12,DYE-2,2001.0,5.0,24.0,2104.3704,40.61793480040316,-0.00064189,0.00345808,66.844929,-46.18122399999993
13,Saddle,2001.0,5.0,23.0,2526.1273,8.740862449084055,-0.00162879,0.00195246,66.003416,-44.309393
14,South Dome,2001.0,5.0,24.0,2905.0617,9.97916809999592,0.00310331,-0.00676077,63.124915,-44.62598300000002
15,NASA-E,2001.0,5.0,23.0,2970.5212,143.82885941373095,-0.00145403,-0.00312556,74.082714,-33.40310199999999
16,NASA-SE,2001.0,5.0,23.0,2521.199,30.310658497859553,0.00148018,-0.00189543,66.592229,-43.11703299999999
17,NGRIP,2001.0,5.0,23.0,3035.0208,123.9905773570504,-7.192e-05,0.00020696,73.995026,-41.745637999999985
18,NEEM,2001.0,5.0,23.0,3032.093,459.2958379589841,0.00037013,0.00271164,73.987343,-41.82433200000003
19,EastGRIP,2001.0,5.0,23.0,2999.4474,171.96284994109104,-0.00494442,0.00204251,74.081233,-35.68604200000004
20,KAR,2001.0,5.0,20.0,2742.3359,24.397189432932908,0.00440093,0.00181091,69.887718,-32.673850000000016
21,KULU,2001.0,5.0,21.0,947.3053,0.8177872674143962,0.05247391,0.01597874,65.752617,-39.591032999999925
22,Aurora,2001.0,5.0,24.0,1847.6229,26.92393146578692,-9.749e-05,0.00298236,66.896961,-47.18792099999996
23,Petermann Glacier,2001.0,5.0,23.0,3033.5624,860.5610402209129,0.00088036,0.0024531,73.991629,-41.79279100000008
24,Petermann ELA,2001.0,5.0,23.0,3033.3494,785.2391056957608,-0.00013901,0.00148885,73.991027,-41.797957999999994
