date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1997-05-23,78.5049,-56.7046,2001.02,4.006,-0.003,0.0027
2012-05-03,78.5222,-56.6297,1999.15,4.67,-0.0035,0.0027
2012-05-03,78.5066,-56.698,2001.09,3.894,-0.0038,0.0023
2014-05-05,78.5279,-56.8421,1986.81,0.041,-0.002,0.004
2015-05-05,78.5281,-56.8424,1986.83,0.038,-0.0027,0.0045
2017-04-14,78.5285,-56.8489,1986.26,0.148,-0.0028,0.0037
2017-04-14,78.4944,-56.8785,1994.12,3.846,-0.0033,0.0014
2019-04-17,78.5285,-56.8422,1986.98,0.023,-0.002,0.003
2019-04-17,78.5229,-56.8476,1988.32,0.617,-0.0023,0.003
2019-09-04,78.5286,-56.8442,1986.68,0.035,-0.0025,0.004
2019-09-04,78.5082,-56.8632,1991.56,2.293,-0.002,0.0026
