date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1995-05-23,77.1793,-61.1036,1905.81,4.868,0.0019,0.0016
1995-05-24,77.1713,-61.0308,1908.31,3.736,0.003,0.0015
1997-05-23,77.1482,-61.1208,1895.99,2.287,0.0038,0.002
1997-05-27,77.1766,-61.1089,1905.17,4.624,0.0034,0.0033
1999-05-07,77.1728,-61.1066,1904.34,4.211,0.0023,0.0034
1999-05-10,77.1372,-61.0343,1895.98,0.182,0.0032,0.002
1999-05-12,77.1788,-61.1057,1905.85,4.829,0.0011,0.0035
1999-05-13,77.1811,-61.0947,1907.25,4.986,0.0014,0.0033
1999-05-21,77.1757,-60.9426,1914.2,4.862,-0.0001,0.0022
1999-05-21,77.1799,-61.0663,1908.91,4.717,0.002,0.0032
1999-05-23,77.1623,-60.8768,1912.3,4.888,0.0029,0.002
1999-05-25,77.174,-60.9793,1911.38,4.3,0.0009,0.0016
2002-05-29,77.1786,-60.9925,1912.24,4.685,0.0052,0.0024
2002-05-29,77.1374,-61.0335,1896.3,0.192,0.0039,0.003
2003-05-13,77.1721,-61.1118,1903.98,4.193,0.002,0.0039
2003-05-14,77.1764,-61.1131,1905.09,4.646,0.0012,0.0055
2003-05-15,77.1792,-61.0859,1907.83,4.735,0.0057,0.0055
2003-05-15,77.1375,-61.0436,1895.59,0.069,0.0034,0.0025
2010-04-13,77.1823,-61.0639,1909.8,4.976,0.0026,0.0029
2010-05-19,77.1309,-61.0958,1889.4,1.557,0.005,0.0018
2010-05-25,77.1782,-61.0686,1908.45,4.539,0.0029,0.0022
2011-05-13,77.1081,-61.1857,1876.53,4.871,0.0035,0.0025
2011-05-16,77.1403,-61.0373,1897.11,0.293,0.0041,0.0034
2012-05-11,77.1771,-61.1076,1905.67,4.667,0.002,0.0023
2012-05-11,77.1743,-61.1318,1903.3,4.637,0.0021,0.0027
2012-05-15,77.1372,-61.0212,1896.81,0.498,0.0037,0.003
2014-04-29,77.1744,-61.1227,1903.86,4.543,0.0015,0.0031
2014-05-01,77.1758,-61.1157,1904.68,4.611,0.001,0.0017
2014-05-05,77.1342,-60.9293,1898.21,2.797,0.0068,0.0019
2014-05-07,77.1374,-61.0229,1896.75,0.451,0.0052,0.0019
2015-05-01,77.1409,-61.0375,1897.58,0.351,0.0036,0.0034
2015-05-05,77.1656,-60.9025,1912.54,4.61,0.004,0.0021
2015-05-06,77.1801,-61.0962,1907.28,4.896,0.0059,0.0025
2015-05-11,77.152,-61.2213,1890.38,4.725,0.0041,0.0035
2017-04-03,77.18,-61.0886,1907.86,4.838,0.0023,0.0025
2017-04-03,77.1771,-61.1173,1905.02,4.755,0.0024,0.0031
2017-04-14,77.1091,-60.9503,1887.18,3.901,0.0037,-0.0001
2017-04-14,77.135,-60.93,1898.9,2.765,0.0065,0.0022
2017-04-17,77.1493,-61.1667,1893.85,3.358,0.0034,0.0032
2017-04-17,77.1756,-61.1224,1904.26,4.657,0.0014,0.0032
2019-04-05,77.1765,-61.1319,1904.0,4.847,0.0017,0.0025
2019-04-17,77.1372,-60.9278,1900.59,2.803,0.0061,0.0033
2019-04-17,77.1313,-60.932,1896.76,2.794,0.0043,0.0016
2019-09-04,77.1,-60.9573,1882.41,4.686,0.0043,0.002
2019-09-04,77.1334,-60.9286,1897.79,2.825,0.0053,0.0026
2019-09-06,77.1393,-61.0143,1898.11,0.683,0.0044,0.0015
2019-09-06,77.1409,-61.0413,1897.33,0.343,0.0041,0.003
2019-09-13,77.178,-61.1267,1904.53,4.938,0.0013,0.0031
