,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2003.0,5.0,11.0,1164.4049,0.6400382984867704,0.00148886,0.02992069,69.555693,-49.381186999999954
2,Crawford Point 1,2003.0,5.0,11.0,1997.7358,1.1048280604923386,0.0042921,0.00156189,69.869665,-46.99848900000006
3,CP2,2003.0,5.0,11.0,1976.1446,1.72375317172409,-0.00934663,-0.01340904,69.91958,-46.89600500000006
4,JAR1,2003.0,5.0,11.0,951.3758,0.030997879743174285,-0.01153558,-0.00910454,69.493438,-49.71489199999996
5,JAR2,2003.0,5.0,11.0,544.7513,0.01891307414676667,0.01455922,0.01427869,69.420149,-50.05773399999998
6,JAR3,2003.0,5.0,11.0,316.1172,0.020224210067503356,0.01776411,-0.02935581,69.394581,-50.31005400000004
7,NASA-U,2003.0,5.0,14.0,2366.0069,0.02365684221183508,-0.00011428,0.0024693,73.840898,-49.52621900000008
8,GITS,2003.0,5.0,15.0,1895.586,0.06908755045315372,0.0034182,0.00254129,77.137518,-61.043589
9,Humboldt,2003.0,5.0,14.0,2042.8023,50.11078851081486,-0.00304984,0.00403881,78.696341,-54.72276499999998
10,Summit,2003.0,5.0,13.0,3018.1974,145.1251826027736,-0.00018302,0.00055401,72.945934,-42.73591800000008
11,Tunu-N,2003.0,5.0,14.0,2485.345,182.97055482470637,-0.00170476,-0.00138988,78.313172,-41.872874000000024
12,DYE-2,2003.0,5.0,9.0,2157.0661,0.2728981935287068,-0.00251935,0.01197445,66.481978,-46.284646000000066
13,Saddle,2003.0,5.0,12.0,2504.2905,0.6101964349519277,-0.00463537,0.00412421,66.005391,-44.502670999999964
14,South Dome,2003.0,5.0,9.0,2855.2255,25.96885960586813,0.00025729,0.00175197,62.971766,-45.153952000000004
15,NASA-E,2003.0,5.0,13.0,2906.6536,297.0040546011855,-0.00106399,-0.00237673,75.25371,-40.36461899999995
16,NASA-SE,2003.0,5.0,12.0,2310.4781,56.19204607835116,-0.01392116,-0.00421713,65.976245,-42.652765000000045
17,NGRIP,2003.0,5.0,13.0,2952.1607,48.97763087573906,-0.00270138,-0.00053316,74.976123,-40.69400100000007
18,NEEM,2003.0,5.0,14.0,2416.3705,30.819803377022268,0.00124269,0.00461135,77.349409,-52.29906299999993
19,EastGRIP,2003.0,5.0,13.0,2901.3006,128.35231386676585,-0.00283037,0.00044412,75.283679,-40.372979999999984
20,KAR,2003.0,5.0,12.0,2277.4326,50.89883568041403,0.01892164,-0.00509481,69.314016,-32.293527999999924
21,KULU,2003.0,5.0,12.0,1700.7457,40.86665819984294,0.01144014,-0.00520353,66.109691,-39.334198000000015
22,Aurora,2003.0,5.0,11.0,1948.7437,22.59845926628426,0.00155142,0.00983597,67.115047,-46.77176899999995
23,Petermann Glacier,2003.0,5.0,14.0,49.3073,2.289691752843692,0.0314875,0.00896429,80.668211,-60.377666999999974
24,Petermann ELA,2003.0,5.0,14.0,1002.6638,3.5394280976773524,-0.00780554,0.00831317,80.108672,-57.972575000000006
