,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2011.0,4.0,6.0,1120.7621,2.7795707016755515,-0.0026319,0.0054552,69.556877,-49.43621800000005
2,Crawford Point 1,2011.0,4.0,6.0,1963.4808,2.207793237855326,0.0040467,0.0161014,69.869609,-47.08037200000001
3,CP2,2011.0,4.0,26.0,1987.0419,2.545620315146656,0.015839,0.0077437,69.896279,-46.810077999999976
4,JAR1,2011.0,4.0,6.0,940.765,0.4032669020747532,0.0219798,0.0049665,69.493291,-49.70384100000001
5,JAR2,2011.0,4.0,16.0,565.703,1.8185723583150633,0.0035364,0.0362443,69.428036,-50.01693599999999
6,JAR3,2011.0,4.0,16.0,108.1381,3.177649019588186,0.2212684,0.1650419,69.366702,-50.33018100000004
7,NASA-U,2011.0,5.0,16.0,1980.8217,65.94648872027119,0.0038943,0.0147196,73.603187,-51.46685200000002
8,GITS,2011.0,5.0,16.0,1897.1089,0.29336142710467644,0.0040664,0.0033801,77.140303,-61.03733
9,Humboldt,2011.0,5.0,7.0,2018.7877,8.516053159233799,-0.0038917,0.003273,78.461702,-56.65220099999999
10,Summit,2011.0,4.0,26.0,3222.7609,167.1033785237764,0.0009398,0.0004332,71.118709,-37.360772
11,Tunu-N,2011.0,5.0,9.0,2111.6359,0.058953919909512306,-0.0058097,-0.0006116,78.019297,-33.96590600000002
12,DYE-2,2011.0,4.0,19.0,2152.7749,0.834639734680057,-0.0025589,0.009516,66.489508,-46.29028500000004
13,Saddle,2011.0,4.0,25.0,2506.6426,0.0523211951710244,-0.0028866,0.00322,65.999431,-44.502702
14,South Dome,2011.0,4.0,14.0,2919.3254,3.6662078570486885,-0.0020955,0.0047022,63.157386,-44.88809600000002
15,NASA-E,2011.0,5.0,9.0,1752.9566,327.10843116259844,-0.0065316,-0.0060199,77.945845,-30.064576999999986
16,NASA-SE,2011.0,4.0,12.0,2415.7727,5.5806124417601195,0.0004359,0.0002267,66.427773,-42.502713000000085
17,NGRIP,2011.0,5.0,6.0,2955.3472,0.010253156343062118,-0.0005139,-0.0005303,75.099725,-42.332809
18,NEEM,2011.0,5.0,6.0,2479.4185,0.99531651415375,-0.0048907,-0.0067518,77.449054,-51.079275999999936
19,EastGRIP,2011.0,5.0,6.0,2970.3986,178.00873357021888,-0.0007566,0.0007207,74.956741,-41.714473999999996
20,KAR,2011.0,4.0,26.0,2723.3006,18.70378540044577,0.0068988,0.0016353,69.864871,-33.08971999999994
21,KULU,2011.0,4.0,12.0,1148.766,7.835354090673399,0.0481556,0.0109515,65.817269,-39.696793999999954
22,Aurora,2011.0,4.0,8.0,1812.6223,4.357122965047487,-0.011438,0.0053691,67.137767,-47.191411000000016
23,Petermann Glacier,2011.0,5.0,7.0,50.6226,2.323070474010505,0.0081564,0.0275204,80.670383,-60.39307899999994
24,Petermann ELA,2011.0,5.0,7.0,956.644,4.8476881685277915,0.0036694,0.0114906,80.076792,-58.36679000000004
