,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,1996.0,5.0,20.0,2480.4386,213.28782891866996,-0.00040766,0.00226052,70.994335,-45.59758599999998
2,Crawford Point 1,1996.0,5.0,20.0,2485.9813,134.9554595381395,-0.00377364,0.00020533,70.983412,-45.54738300000008
3,CP2,1996.0,5.0,20.0,2486.2644,128.46104160621638,-0.00313368,-0.00070739,70.982829,-45.54334300000005
4,JAR1,1996.0,5.0,20.0,2480.1973,227.35507375440622,-0.00093215,0.00280491,70.995134,-45.60013200000003
5,JAR2,1996.0,5.0,20.0,2480.0448,242.30865180347226,0.00049482,0.00289395,70.995624,-45.60162500000001
6,JAR3,1996.0,5.0,20.0,2479.7585,251.04319417564557,0.00085512,0.00276588,70.997127,-45.605966999999964
7,NASA-U,1996.0,5.0,15.0,2558.116,89.86058055777188,0.00211298,0.00827258,74.561145,-48.177306000000044
8,GITS,1996.0,5.0,20.0,1912.6182,5.023941633233347,0.00395935,0.00460575,77.182185,-61.002418000000034
9,Humboldt,1996.0,5.0,22.0,2258.7564,106.00362007415421,-0.00043208,0.00012498,77.616245,-55.48908400000005
10,Summit,1996.0,5.0,20.0,3090.0195,111.60592256669437,-0.00059529,1.041e-05,73.119393,-41.37744599999996
11,Tunu-N,1996.0,5.0,22.0,2104.3384,6.218059654470382,-0.00317503,-0.0063654,78.074321,-33.93319799999995
12,DYE-2,1996.0,5.0,20.0,2491.3208,500.6653166419132,-0.00130471,0.00475993,70.97793,-45.480774999999994
13,Saddle,1996.0,5.0,20.0,2497.7835,554.5137014327735,0.00273268,0.00685326,70.977944,-45.449943000000076
14,South Dome,1996.0,5.0,20.0,2495.6032,870.4171046040822,0.00186265,0.00739122,70.977793,-45.45847099999992
15,NASA-E,1996.0,5.0,22.0,1528.6552,314.63271037784045,-0.00250481,-0.0098204,77.714089,-26.514914999999974
16,NASA-SE,1996.0,5.0,20.0,2509.2083,513.7868132461645,0.00242,0.00697125,70.980027,-45.41201799999999
17,NGRIP,1996.0,5.0,20.0,2955.7353,3.4946125962870833,-0.0009493,-0.00078245,75.10985,-42.21667600000001
18,NEEM,1996.0,5.0,22.0,2404.7059,45.21241340445218,-0.00286105,0.00190416,77.839769,-51.48401200000001
19,EastGRIP,1996.0,5.0,20.0,2952.0483,183.9791253103349,-0.00017854,-0.00054804,75.146831,-42.26431400000001
20,KAR,1996.0,5.0,20.0,2909.2853,461.09587053015827,-0.00153821,0.00273987,72.073269,-43.426064999999994
21,KULU,1996.0,5.0,20.0,2517.2152,626.362839571359,0.00208324,0.00307871,70.984507,-45.37363499999992
22,Aurora,1996.0,5.0,20.0,2489.0604,432.8866465223815,-0.00320785,0.00098291,70.978847,-45.50264500000003
23,Petermann Glacier,1996.0,5.0,15.0,47.2101,7.434593248800072,-0.01019823,-0.00055914,80.684471,-60.70635600000003
24,Petermann ELA,1996.0,5.0,15.0,646.9505,64.95842568943567,-0.01258263,0.0211203,79.94964,-61.41222300000004
