,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2016.0,9.0,6.0,1156.4734,0.2626350110744756,0.0040185,0.0031775,69.556584,-49.37085200000001
2,Crawford Point 1,2016.0,9.0,13.0,1989.2989,1.5227499114488927,0.0051552,0.0051974,69.887475,-47.03407900000002
3,CP2,2016.0,9.0,13.0,1969.1414,1.0430071036878343,0.0113705,0.0231326,69.921909,-46.865589
4,JAR1,2016.0,9.0,12.0,931.9803,0.24251066388278028,0.007451,-0.0126872,69.491927,-49.709358000000066
5,JAR2,2016.0,5.0,16.0,564.4564,3.7203412978048327,0.0035694,-0.0090556,69.419264,-49.96228300000007
6,JAR3,2016.0,9.0,13.0,601.8418,12.318567648636265,-0.0111889,0.0147942,69.36061,-50.01024099999995
7,NASA-U,2016.0,5.0,10.0,1493.8962,119.94434403689074,-0.0106838,0.0079596,73.416709,-53.04889700000001
8,GITS,2016.0,5.0,10.0,1697.1138,34.38182230385266,0.0384826,-0.0049996,76.838824,-61.39477599999998
9,Humboldt,2016.0,5.0,9.0,2123.1837,38.30808849156785,-0.0042116,0.0023791,78.274463,-55.68208299999992
10,Summit,2016.0,9.0,15.0,3246.2195,2.0296458089903697,0.0006691,0.0014848,72.579966,-38.565501999999924
11,Tunu-N,2016.0,5.0,9.0,1775.9118,184.24931200781464,0.0021912,-0.0058262,79.633327,-32.01451599999996
12,DYE-2,2016.0,9.0,2.0,2134.7741,5.492885690165263,-0.0085282,0.0011271,66.531232,-46.27972
13,Saddle,2016.0,9.0,11.0,2476.3338,19.562019473530892,0.0001152,0.0029569,66.175916,-44.49605500000007
14,South Dome,2016.0,8.0,29.0,2883.1698,14.156564402968636,-0.0075142,0.0023061,63.091992,-44.56540599999994
15,NASA-E,2016.0,5.0,19.0,1051.658,159.88132909244055,0.0410152,-0.1677621,73.700938,-27.707033000000024
16,NASA-SE,2016.0,9.0,2.0,2434.7914,4.069578225769689,0.0054484,-0.0056223,66.514409,-42.487904999999955
17,NGRIP,2016.0,9.0,15.0,3235.1977,276.13208426673384,0.0012547,-0.0019121,72.913881,-38.03300999999999
18,NEEM,2016.0,5.0,9.0,2161.2208,129.22474553104234,-0.0026052,0.0037367,78.47369,-53.66770599999995
19,EastGRIP,2016.0,9.0,15.0,3116.6712,302.9219725276303,-0.0005432,-0.0065683,72.954781,-33.980087000000026
20,KAR,2016.0,5.0,13.0,2536.7044,29.991113498107957,0.0130073,-0.0013349,69.645188,-33.76166899999998
21,KULU,2016.0,9.0,2.0,891.8845,1.8629949283376865,0.0433382,0.0377556,65.74442,-39.57964199999992
22,Aurora,2016.0,9.0,1.0,1783.5875,4.3329100989663125,-0.003713,0.0034063,67.096812,-47.293499999999995
23,Petermann Glacier,2016.0,5.0,9.0,2122.949,258.5664789716092,-0.0028215,0.0029768,78.928012,-51.62503700000002
24,Petermann ELA,2016.0,5.0,9.0,2135.1088,184.44717094867457,-0.0033423,0.0007571,78.851129,-52.146813000000066
