date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1999-05-12,78.0164,-33.9883,2112.65,0.067,-0.004,-0.0003
1999-05-12,78.0169,-33.9856,2112.37,0.049,-0.0047,-0.0006
2002-05-24,78.0178,-33.967,2111.89,0.106,-0.0099,-0.0001
2002-05-24,78.0198,-33.9716,2111.04,0.153,-0.0056,0.0034
2011-05-09,78.0195,-33.9726,2111.56,0.181,-0.0035,-0.0004
2013-04-26,78.0187,-33.9675,2111.98,0.022,-0.0048,-0.0003
2014-05-08,78.0301,-33.9811,2106.2,1.344,-0.0032,-0.0014
2015-05-06,78.02,-33.9684,2111.68,0.19,-0.0069,-0.0007
2015-05-15,78.0246,-33.9816,2109.48,0.728,-0.0053,-0.0005
2019-04-23,78.0204,-34.1744,2120.07,4.793,-0.003,0.0008
2019-04-23,78.0191,-33.9668,2112.31,0.03,-0.005,0.0004
2019-04-23,78.0158,-33.7922,2089.97,4.042,-0.0017,-0.0064
