,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2010.0,5.0,17.0,1165.4573,0.015561292305606876,0.0053887,-0.0016616,69.555737,-49.36478299999999
2,Crawford Point 1,2010.0,5.0,14.0,1963.1202,2.247875546143914,0.0053239,0.0166478,69.869529,-47.081394000000046
3,CP2,2010.0,5.0,7.0,1981.9729,3.5372797638384803,0.0078587,0.007653,69.888775,-46.79565000000002
4,JAR1,2010.0,5.0,17.0,944.2442,0.11002667728800544,-0.0158737,-0.0049854,69.494231,-49.715161999999964
5,JAR2,2010.0,5.0,17.0,530.8832,0.016624313117172298,0.0144384,0.0202077,69.420147,-50.05742099999998
6,JAR3,2010.0,5.0,17.0,283.2064,0.015799307665131584,0.0167413,-0.0326258,69.394483,-50.31032800000003
7,NASA-U,2010.0,5.0,14.0,1997.5908,411.595431888038,-0.0029486,0.0086599,70.200186,-47.305068000000006
8,GITS,2010.0,5.0,19.0,1889.401,1.5565432916152926,0.0050159,0.0017959,77.130899,-61.09584199999995
9,Humboldt,2010.0,3.0,24.0,1961.5307,7.328310456189093,-0.0039815,0.0017254,78.584251,-57.01823300000001
10,Summit,2010.0,5.0,7.0,2730.9335,350.65193952250036,0.0061532,0.0073199,69.828709,-33.69355100000007
11,Tunu-N,2010.0,3.0,24.0,1971.583,494.98426360075644,-0.0047476,0.0038414,78.714212,-55.92349200000001
12,DYE-2,2010.0,5.0,15.0,2155.8649,0.9163691680348318,-0.0036126,0.0082956,66.489737,-46.28364899999997
13,Saddle,2010.0,5.0,8.0,2505.1896,0.47489511955401525,-0.0034682,0.0035356,66.004172,-44.502320000000054
14,South Dome,2010.0,5.0,12.0,2874.453,15.372526570962815,0.0050892,-0.0084364,63.118267,-44.518988000000036
15,NASA-E,2010.0,5.0,7.0,2734.293,577.0611668276593,-0.0039912,-0.0027693,69.880454,-32.85148400000003
16,NASA-SE,2010.0,5.0,12.0,2437.5429,4.252134468431067,0.0045574,-0.0034789,66.516119,-42.490428000000065
17,NGRIP,2010.0,5.0,25.0,1941.7029,495.96876431571593,0.0047345,0.0016133,77.11142,-59.022263000000066
18,NEEM,2010.0,3.0,24.0,1971.583,179.52545064526038,-0.0047476,0.0038414,78.714212,-55.92349200000001
19,EastGRIP,2010.0,3.0,24.0,1971.583,595.1037193475665,-0.0047476,0.0038414,78.714212,-55.92349200000001
20,KAR,2010.0,5.0,7.0,2724.6956,18.683296815170685,0.007488,0.0020536,69.86543,-33.077225999999996
21,KULU,2010.0,5.0,12.0,902.4899,1.9627394887782788,0.0443279,0.0437352,65.743884,-39.57765500000005
22,Aurora,2010.0,5.0,15.0,1792.1214,1.5385142642631944,-0.0017015,0.0046108,67.149639,-47.293239000000085
23,Petermann Glacier,2010.0,3.0,24.0,60.2432,2.358865224391061,-0.010722,0.0104886,80.672484,-60.40474100000006
24,Petermann ELA,2010.0,3.0,24.0,938.574,2.6079515300854204,-0.0116333,0.0018321,80.119169,-58.22241299999996
