,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2006.0,5.0,27.0,1126.3872,2.6682902203062433,0.00142226,0.00642388,69.556745,-49.43336599999998
2,Crawford Point 1,2006.0,5.0,28.0,2004.221,1.8630570327616944,0.00333767,0.0026718,69.877198,-46.97625700000003
3,CP2,2006.0,5.0,28.0,1984.9367,2.68013463754724,-0.005255,-0.00982126,69.926077,-46.91427900000008
4,JAR1,2006.0,5.0,27.0,947.7872,0.23954325703181528,0.00089767,-0.00259727,69.493125,-49.70806700000003
5,JAR2,2006.0,5.0,27.0,576.332,3.5598188919688476,-0.00472384,0.01281697,69.417353,-49.966684999999984
6,JAR3,2006.0,5.0,27.0,176.8645,3.2387918162531437,0.07216015,-0.00811651,69.36528,-50.31345800000008
7,NASA-U,2006.0,5.0,28.0,2160.3622,185.11070627111516,0.0093353,-0.00136882,72.176333,-49.76204400000006
8,GITS,2006.0,5.0,23.0,1904.3452,5.076806736120159,0.00074942,0.00348961,77.178809,-61.131693999999925
9,Humboldt,2006.0,5.0,23.0,2023.5878,155.17390831889128,0.00469189,0.00143536,77.140702,-57.585864000000015
10,Summit,2006.0,6.0,2.0,2716.7834,357.0208304141395,0.00994439,0.0013443,69.86626,-33.14498900000001
11,Tunu-N,2006.0,5.0,23.0,2570.097,399.01970706720294,-0.0004272,0.002363,76.83849,-49.61054899999999
12,DYE-2,2006.0,6.0,1.0,2155.1075,0.009602020361962149,-0.00175232,0.01126177,66.482086,-46.29077899999993
13,Saddle,2006.0,6.0,1.0,2428.5135,53.54542317579092,0.0007425,0.00189145,66.481713,-44.488166999999976
14,South Dome,2006.0,6.0,9.0,2387.2592,48.601914749256856,-0.00466115,-0.04035541,62.994675,-43.913775999999984
15,NASA-E,2006.0,6.0,2.0,52.4354,503.3573395090024,0.00020219,-0.00065091,70.495501,-28.438785000000053
16,NASA-SE,2006.0,6.0,1.0,2416.4548,1.946611185555881,0.00501366,-0.00183907,66.460442,-42.49870699999997
17,NGRIP,2006.0,5.0,23.0,2571.1741,273.2948551101011,-0.00042769,0.00165945,76.814275,-49.617062999999916
18,NEEM,2006.0,5.0,23.0,2439.8283,57.22325370592571,0.00284812,0.00218897,76.935833,-51.54347400000006
19,EastGRIP,2006.0,5.0,23.0,2571.5763,383.0246285137723,-0.00076376,0.0024417,76.8222,-49.59958299999994
20,KAR,2006.0,6.0,2.0,2687.958,18.382592607810285,0.00645284,0.00229741,69.842169,-33.242249000000015
21,KULU,2006.0,6.0,8.0,650.5302,5.8465034011802475,0.0729229,-0.05982361,65.727116,-39.70458200000007
22,Aurora,2006.0,5.0,29.0,1914.3403,16.648046882832283,0.00137634,0.00484233,67.100395,-46.917823
23,Petermann Glacier,2006.0,5.0,19.0,1270.8728,167.49717586220777,-0.0181827,-0.04498077,80.972147,-69.58520900000008
24,Petermann ELA,2006.0,5.0,19.0,1247.6386,227.4314978048799,-0.14274943,-0.04940773,80.812642,-69.74645199999998
