;site name;first valid date;latest valid date;delta time;first valid latitude, °N;latest valid latitude, °N;first valid longitude, °W;latest valid longitude, °W;displacement, m;displacement rate, m/y;first valid elevation, m;latest valid elevation, m;elevation change, m
0;SWC;2020-09-15;2022-01-15;1.3;69.554130;69.553200;-49.369609;-49.373087;171;128.1;1122;1120;-2.2
1;SDM;2021-07-15;2022-02-15;0.6;63.148990;63.149000;-44.817383;-44.817387;1;1.9;2895;2891;-3.5
2;NSE;2021-07-15;2022-01-15;0.5;66.477770;66.477730;-42.493641;-42.493489;8;16.1;2386;2384;-2.2
3;CP1;2021-07-15;2022-01-15;0.5;69.872430;69.872250;-47.036584;-47.037848;53;104.3;1940;1933;-6.6
4;NAU;2021-09-15;2021-12-15;0.2;73.840560;73.840530;-49.531653;-49.531992;11;44.4;2340;2337;-2.6
5;CEN;2021-09-15;2021-10-15;0.1;77.181900;77.181900;-61.115474;-61.115484;0;3.0;1893;1892;-0.3
6;NEM;2021-09-15;2021-10-15;0.1;77.441380;77.441380;-51.083437;-51.083459;1;6.5;2453;2453;-0.2
7;JAR;2021-05-15;2021-07-15;0.2;69.492470;69.492450;-49.718355;-49.718511;6;38.9;907;908;0.8
