date,latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year
2009-05-10,69.49544091754636,-49.700876432204,953.2151539229673,21.083321455064194,130.0,2009.0
2009-05-11,69.49544054574164,-49.70087873829049,953.2139791174427,12.004201414176512,131.0,2009.0
2009-05-12,69.49543983234499,-49.70088283446549,953.2229874218207,12.004270906879777,132.0,2009.0
2009-05-13,69.49543916034793,-49.70088710519664,953.2228870093782,12.00289452587704,133.0,2009.0
2009-05-14,69.49543852537822,-49.700891325140866,953.2180814866273,12.002940837096215,134.0,2009.0
2009-05-15,69.49543785058684,-49.70089566389854,953.2120740444755,12.004488071577484,135.0,2009.0
2009-05-16,69.49543722503572,-49.70089989720678,953.2068564628213,12.004557564280752,136.0,2009.0
2009-05-17,69.49543656927366,-49.70090450373105,953.2048530045155,12.003085564432094,137.0,2009.0
2009-05-18,69.49543593530257,-49.70090844835109,953.1993884334838,12.003131875651267,138.0,2009.0
2009-05-19,69.49543530853981,-49.70091268556502,953.1965684960056,12.003178186870441,139.0,2009.0
2009-05-20,69.49543464321192,-49.70091692721895,953.1988393328701,12.004844221681724,140.0,2009.0
2009-05-21,69.49543399117171,-49.70092118467736,953.1993692601598,12.00327660298715,141.0,2009.0
2009-05-22,69.49543337433619,-49.70092544902551,953.2005720389024,12.003322914206322,142.0,2009.0
2009-05-23,69.49543269603258,-49.700929642900704,953.1959915943036,12.003369225425494,143.0,2009.0
2009-05-24,69.49543207239005,-49.70093400929303,953.1909870833333,12.001707177083333,144.0,2009.0
2009-05-25,69.4954314194734,-49.700938148201885,953.1870467685894,12.005200371785962,145.0,2009.0
2009-05-26,69.49543078345012,-49.70094240722821,953.1880946838082,12.005269864489229,146.0,2009.0
2009-05-27,69.49543013396746,-49.70094665398618,953.18276066713,12.005339357192495,147.0,2009.0
2009-05-28,69.4954294963944,-49.700950932104135,953.1864841959012,12.00360657867315,148.0,2009.0
2009-05-29,69.49542883788352,-49.700955101636374,953.1792194511984,12.003652889892322,149.0,2009.0
2009-05-30,69.49542822313335,-49.70095935552757,953.1748185198054,12.005556521890203,150.0,2009.0
2009-05-31,69.49542756618311,-49.70096363734654,953.1669951702571,12.005626014593467,151.0,2009.0
2009-06-01,69.49542693438309,-49.70096790861314,953.1579921153178,12.003797617228205,152.0,2009.0
2009-06-02,69.49542623957778,-49.7009721607657,953.1563856894755,12.003843928447377,153.0,2009.0
2009-06-03,69.49542552739378,-49.700976486734405,953.1577604376521,12.00389023966655,154.0,2009.0
2009-06-04,69.49542485726101,-49.70098085620513,953.1540065323142,12.00591267199444,155.0,2009.0
2009-06-05,69.49542418829178,-49.70098511412403,953.1538449596067,11.93317527572884,156.0,2009.0
2009-06-06,69.4954235128365,-49.700989506448,953.1504741573034,11.936177436797752,157.0,2009.0
2009-06-07,69.4954227620546,-49.700993908708,953.1500115560239,11.934767590446082,158.0,2009.0
2009-06-08,69.49542198873938,-49.700998513231106,953.16007125,12.002063079861111,159.0,2009.0
2009-06-09,69.49542135502655,-49.70100305461662,953.1473369641602,11.934270323260717,160.0,2009.0
2009-06-10,69.49542067113298,-49.701007510940315,953.1400459943782,11.935090186226281,161.0,2009.0
2009-06-11,69.49541997459299,-49.70101211358144,953.13549395643,11.935910049191847,162.0,2009.0
2009-06-12,69.495419307614,-49.70101679764973,953.1306464862965,11.932545678144765,163.0,2009.0
2009-06-13,69.49541861195412,-49.70102130271584,953.1261329268292,11.981774101045296,164.0,2009.0
2009-06-14,69.4954179110867,-49.701025899589936,953.1294888224957,11.93640011950791,165.0,2009.0
2009-06-15,69.49541722843944,-49.70103054362366,953.1294671874999,12.002230902777779,166.0,2009.0
2009-06-16,69.49541655100597,-49.70103524693095,953.1264163888889,12.002254052083334,167.0,2009.0
2009-06-17,69.49541581009214,-49.70103969640139,953.1258382290936,11.936747484188334,168.0,2009.0
2009-06-18,69.49541512110076,-49.701044249054235,953.1230201335208,11.9375673471539,169.0,2009.0
2009-06-19,69.49541443839405,-49.70104897455592,953.1177944132115,11.938390137034434,170.0,2009.0
2009-06-20,69.49541376229253,-49.70105365304726,953.1163687170475,11.93738137082601,171.0,2009.0
2009-06-21,69.49541302678035,-49.701058152789486,953.1130829062829,11.945726574236575,172.0,2009.0
2009-06-22,69.49541232575058,-49.70106290661846,953.1085193253689,11.936662568517217,173.0,2009.0
2009-06-23,69.49541164092292,-49.70106774501055,953.105693851019,11.937482431482781,174.0,2009.0
2009-06-24,69.49541095466799,-49.70107236802511,953.104108597285,11.990239589279497,175.0,2009.0
2009-06-25,69.49541026988935,-49.70107686517192,953.1038460133474,11.945269877063577,176.0,2009.0
2009-06-26,69.49540959087524,-49.701081344815925,953.0931679469275,11.97119122555866,177.0,2009.0
2009-06-27,69.49540881113342,-49.70108603746994,953.096582646648,11.971767342877094,178.0,2009.0
2009-06-28,69.49540811830163,-49.70109073041161,953.0964384103642,11.962561274509802,179.0,2009.0
2009-06-29,69.49540745317901,-49.70109557762732,953.0952924305556,12.002563659722222,180.0,2009.0
2009-06-30,69.49540670402735,-49.701100084123965,953.1032717459215,11.999997108642834,181.0,2009.0
2009-07-01,69.49540583372092,-49.70110662143065,953.0975451579313,11.999997108642834,182.0,2009.0
2009-07-02,69.49540509781713,-49.70111138024896,953.0956741062131,11.999997108642834,183.0,2009.0
2009-07-03,69.49540440810578,-49.701115872741916,953.0962202360291,11.999997108642834,184.0,2009.0
2009-07-04,69.49540371273477,-49.70112037712601,953.0880788267963,11.999997108642834,185.0,2009.0
2009-07-05,69.49540303984921,-49.70112492390374,953.0907816383201,11.999997108642834,186.0,2009.0
2009-07-06,69.49540238410371,-49.70112944122026,953.0870174939257,11.999997108642834,187.0,2009.0
2009-07-07,69.4954016824916,-49.70113423962744,953.0885907670947,11.999997108642834,188.0,2009.0
2009-07-08,69.49540080597303,-49.70113953453373,953.1018967372439,11.999997108642834,189.0,2009.0
2009-07-09,69.49539985494137,-49.70114592029775,953.1123278722665,11.999997108642834,190.0,2009.0
2009-07-10,69.49539886152088,-49.701151887189056,953.1154574800416,11.999997108642834,191.0,2009.0
2009-07-11,69.49539779680569,-49.70115820671256,953.1184441513363,11.999997108642834,192.0,2009.0
2009-07-12,69.49539666006883,-49.70116450566451,953.1114106560223,11.999997108642834,193.0,2009.0
2009-07-13,69.49539550669135,-49.701170503135494,953.1122545296772,11.999997108642834,194.0,2009.0
2009-07-14,69.495394262621,-49.701175677233984,953.1115645956264,11.999997108642834,195.0,2009.0
2009-07-15,69.49539287253268,-49.70118215978827,953.1251925026032,11.999997108642834,196.0,2009.0
2009-07-16,69.49539225931775,-49.7011922501427,953.130372856647,11.999997108642834,197.0,2009.0
2009-07-17,69.49539136537757,-49.70119873672336,953.1354748351266,11.999997108642834,198.0,2009.0
2009-07-18,69.49539078866809,-49.70120612211135,953.1308596320722,11.999997108642834,199.0,2009.0
2009-07-19,69.49539004589938,-49.701212043562236,953.1199311697327,11.999997108642834,200.0,2009.0
2009-07-20,69.49538894799934,-49.70121681864805,953.1074585907671,11.999997108642834,201.0,2009.0
2009-07-21,69.49538792877955,-49.70122141371342,953.1113062131204,11.999997108642834,202.0,2009.0
2009-07-22,69.49538713653727,-49.70122616912531,953.1152674418605,11.999997108642834,203.0,2009.0
2009-07-23,69.49538639278606,-49.70123200486811,953.1085440472059,11.999997108642834,204.0,2009.0
2009-07-24,69.49538519752312,-49.70123685487152,953.1290152211773,11.989243005921283,205.0,2009.0
2009-07-25,69.495384421259,-49.70124355188207,953.1047079139187,11.999997108642834,206.0,2009.0
2009-07-26,69.49538350466466,-49.70124730130645,953.1008957653593,11.999997108642834,207.0,2009.0
2009-07-27,69.49538320735759,-49.70125422788963,953.1008454356125,11.999997108642834,208.0,2009.0
2009-07-28,69.49538204778915,-49.70126027363956,953.1105257896564,11.999997108642834,209.0,2009.0
2009-07-29,69.49538120310078,-49.70126481947049,953.1034795209996,11.999997108642834,210.0,2009.0
