latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
69.49541983333333,-49.70106794444445,955.4188,0.00000,172,2009,160378.712
69.49541903055555,-49.7010644,953.9298,0.00833,172,2009,115659.369
69.49541618611111,-49.70106406944445,953.2473,0.01667,172,2009,70932.769
69.4954154861111,-49.70106207222223,953.0622,0.02500,172,2009,26194.076
69.49541494444446,-49.70106231666667,952.9471,0.03333,172,2009,-18556.941
69.49541465000001,-49.701063183333346,952.9123,0.04167,172,2009,-63319.083
69.49541392222223,-49.701062300000004,952.9525,0.05000,172,2009,-108089.163
69.49541358611111,-49.701061075000005,952.958,0.05833,172,2009,-152864.875
69.49541367222223,-49.701061033333346,952.9949,0.06667,172,2009,-197645.806
69.49541384722222,-49.70106058611112,953.0076,0.07500,172,2009,-242430.201
69.49541380833334,-49.70106015000001,953.0345,0.08333,172,2009,-287216.240
69.49541383055555,-49.701060313888895,952.9712,0.09167,172,2009,-332004.441
69.49541378055555,-49.70105983055556,952.9626,0.10000,172,2009,-376796.062
69.49541365277778,-49.70105976944445,952.9565,0.10833,172,2009,-421592.890
69.49541360555554,-49.7010596138889,952.9688,0.11667,172,2009,-466396.003
69.49541350555556,-49.70105943055556,952.9743,0.12500,172,2009,488794.226
69.49541349166667,-49.701058988888896,952.9688,0.13333,172,2009,443974.886
69.49541353333335,-49.70105894444446,952.9658,0.14167,172,2009,399146.300
69.49541355833333,-49.70105876666667,952.9809,0.15000,172,2009,354308.391
69.49541361944446,-49.70105860555556,953.0044,0.15833,172,2009,309461.195
69.49541363333333,-49.70105856944445,953.0183,0.16667,172,2009,264604.711
69.49541360555554,-49.70105845,953.0344,0.17500,172,2009,219738.204
69.49541361666668,-49.70105846111112,953.0599,0.18333,172,2009,174862.182
69.49541355833333,-49.701058311111105,953.0699,0.19167,172,2009,129976.586
69.49541353055557,-49.70105827222223,953.0741,0.20000,172,2009,85080.254
69.49541349166667,-49.70105811111112,953.0771,0.20833,172,2009,40172.916
69.49541343333334,-49.70105795000001,953.0891,0.21667,172,2009,-4744.153
69.49541336111112,-49.701057580555556,953.1019,0.22500,172,2009,-49671.201
69.49541330555556,-49.70105738333334,953.1154,0.23333,172,2009,-94607.836
69.49541323055556,-49.70105711111111,953.1181,0.24167,172,2009,-139554.650
69.49541311388889,-49.70105680555557,953.1168,0.25000,172,2009,-184512.786
69.49541309166666,-49.70105663611112,953.1178,0.25833,172,2009,-229482.162
69.49541305555556,-49.70105643333334,953.1239,0.26667,172,2009,-274461.606
69.49541303611112,-49.70105629722222,953.1258,0.27500,172,2009,-319451.602
69.49541305,-49.701056330555566,953.1269,0.28333,172,2009,-364453.383
69.49541300555556,-49.70105620833334,953.1229,0.29167,172,2009,-409466.960
69.4954129888889,-49.7010561388889,953.1251,0.30000,172,2009,-454490.364
69.49541293888889,-49.701056050000005,953.1256,0.30833,172,2009,-499525.498
69.495412925,-49.701056,953.1292,0.31667,172,2009,455429.931
69.4954129,-49.70105593333335,953.1281,0.32500,172,2009,410372.699
69.49541288333333,-49.7010558388889,953.1349,0.33333,172,2009,365303.250
69.49541285833335,-49.70105570555557,953.1476,0.34167,172,2009,320222.299
69.49541285555557,-49.70105565000001,953.1562,0.35000,172,2009,275129.374
69.49541286388889,-49.70105556111111,953.1628,0.35833,172,2009,230024.243
69.495412875,-49.7010555388889,953.1708,0.36667,172,2009,184905.520
69.49541287222222,-49.70105547500001,953.1747,0.37500,172,2009,139774.538
69.49541287777778,-49.70105556388889,953.1738,0.38333,172,2009,94632.068
69.495412875,-49.70105555833334,953.1756,0.39167,172,2009,49478.798
69.49541285555557,-49.70105556666667,953.1749,0.40000,172,2009,4312.827
69.49541286388889,-49.701055569444456,953.1751,0.40833,172,2009,-40865.681
69.49541288055556,-49.701055591666666,953.1735,0.41667,172,2009,-86057.126
69.49541289722222,-49.70105557222222,953.174,0.42500,172,2009,-131262.051
69.49541292222223,-49.70105558888889,953.1733,0.43333,172,2009,-176480.497
69.49541293333334,-49.70105565000001,953.1734,0.44167,172,2009,-221711.564
69.49541294722222,-49.70105570833334,953.1702,0.45000,172,2009,-266957.456
69.49541295277778,-49.70105575833334,953.1676,0.45833,172,2009,-312218.872
69.49541297222223,-49.70105586388889,953.1643,0.46667,172,2009,-357493.106
69.49541299722222,-49.70105592777778,953.1633,0.47500,172,2009,-402779.084
69.49541301111111,-49.70105592777778,953.1635,0.48333,172,2009,-448075.582
69.49541303055555,-49.701055941666674,953.1634,0.49167,172,2009,-493381.723
69.49541304444443,-49.70105598611111,953.1628,0.50000,172,2009,461304.032
69.49541305555556,-49.70105599166667,953.1653,0.50833,172,2009,415978.292
69.49541306388889,-49.70105598611111,953.1684,0.51667,172,2009,370643.157
69.49541305555556,-49.701055972222235,953.1693,0.52500,172,2009,325297.772
69.49541305277778,-49.70105597500001,953.17,0.53333,172,2009,279942.489
69.49541304722221,-49.701056030555556,953.1695,0.54167,172,2009,234575.962
69.49541303611112,-49.70105609722222,953.167,0.55000,172,2009,189198.749
69.49541303055555,-49.701056169444456,953.1646,0.55833,172,2009,143811.696
69.49541302777777,-49.701056183333336,953.1645,0.56667,172,2009,98413.849
69.49541302777777,-49.70105621666667,953.1647,0.57500,172,2009,53004.638
69.49541303055555,-49.70105626944446,953.1635,0.58333,172,2009,7582.888
69.4954130388889,-49.70105630000001,953.1655,0.59167,172,2009,-37849.946
69.49541305,-49.70105635277778,953.1674,0.60000,172,2009,-83293.227
69.49541305,-49.70105635833334,953.1684,0.60833,172,2009,-128745.378
69.49541305555556,-49.70105633611112,953.1715,0.61667,172,2009,-174207.689
69.49541305833334,-49.70105638333334,953.17,0.62500,172,2009,-219683.501
69.49541306111111,-49.7010564388889,953.1703,0.63333,172,2009,-265169.777
69.49541306111111,-49.70105647500001,953.1705,0.64167,172,2009,-310667.479
69.49541306111111,-49.70105651944445,953.1706,0.65000,172,2009,-356176.238
69.49541305833334,-49.70105656111111,953.1693,0.65833,172,2009,-401695.461
69.49541306111111,-49.70105657500001,953.169,0.66667,172,2009,-447225.881
69.49541305833334,-49.70105660000001,953.1693,0.67500,172,2009,-492765.706
69.49541305555556,-49.701056650000005,953.1683,0.68333,172,2009,461687.511
69.49541306388889,-49.70105668888889,953.1685,0.69167,172,2009,416130.055
69.49541306666667,-49.70105670833334,953.1689,0.70000,172,2009,370560.807
69.49541306388889,-49.701056711111114,953.1689,0.70833,172,2009,324977.714
69.49541307222222,-49.701056725000015,953.1694,0.71667,172,2009,279380.920
69.49541306944444,-49.70105670833334,953.1711,0.72500,172,2009,233772.001
69.49541306666667,-49.70105669166667,953.1712,0.73333,172,2009,188149.680
69.49541306388889,-49.70105667777778,953.1709,0.74167,172,2009,142513.427
69.49541306111111,-49.70105668888889,953.1703,0.75000,172,2009,96862.498
69.49541305833334,-49.7010566638889,953.1704,0.75833,172,2009,51199.226
69.49541305833334,-49.701056683333334,953.1709,0.76667,172,2009,5524.084
69.49541305555556,-49.701056675000004,953.1725,0.77500,172,2009,-40163.413
69.49541305555556,-49.70105667777778,953.1735,0.78333,172,2009,-85862.145
69.49541305277778,-49.701056686111116,953.1734,0.79167,172,2009,-131571.068
69.49541305,-49.701056683333334,953.1727,0.80000,172,2009,-177288.651
69.49541304722221,-49.701056675000004,953.1728,0.80833,172,2009,-223013.656
69.49541305,-49.70105667777778,953.1721,0.81667,172,2009,-268746.944
69.49541305277778,-49.70105667777778,953.1718,0.82500,172,2009,-314487.515
69.49541305277778,-49.70105666666666,953.1705,0.83333,172,2009,-360235.472
69.49541305,-49.701056661111124,953.17,0.84167,172,2009,-405989.602
69.49541305,-49.701056647222224,953.1696,0.85000,172,2009,-451749.578
69.49541304444443,-49.70105663611112,953.1695,0.85833,172,2009,-497514.150
69.49541304444443,-49.70105663055556,953.1688,0.86667,172,2009,456718.051
69.4954130388889,-49.70105662777778,953.169,0.87500,172,2009,410946.188
69.49541304444443,-49.70105663611112,953.1685,0.88333,172,2009,365171.117
69.49541304444443,-49.7010566388889,953.1681,0.89167,172,2009,319391.613
69.49541304722221,-49.701056650000005,953.1672,0.90000,172,2009,273608.679
69.49541305,-49.701056650000005,953.1671,0.90833,172,2009,227822.628
69.49541305,-49.701056658333336,953.167,0.91667,172,2009,182033.801
69.49541305,-49.70105664444445,953.1672,0.92500,172,2009,136243.059
69.49541304444443,-49.701056633333344,953.1674,0.93333,172,2009,90451.095
69.4954130388889,-49.701056605555564,953.1672,0.94167,172,2009,44658.212
69.4954130388889,-49.701056597222234,953.1666,0.95000,172,2009,-1135.005
69.4954130388889,-49.701056597222234,953.1663,0.95833,172,2009,-46929.579
69.49541304166668,-49.70105660277779,953.1652,0.96667,172,2009,-92726.139
69.49541304444443,-49.701056597222234,953.1649,0.97500,172,2009,-138524.340
69.49541304722221,-49.701056597222234,953.1642,0.98333,172,2009,-184323.533
69.49541305,-49.701056594444445,953.1644,0.99167,172,2009,-230123.937
69.49541305,-49.701056594444445,953.1645,1.00000,172,2009,-275927.283
69.49541305277778,-49.701056588888896,953.1643,1.00833,172,2009,-321733.562
69.49541305,-49.701056588888896,953.1648,1.01667,172,2009,-367542.782
69.49541305,-49.70105658333333,953.1656,1.02500,172,2009,-413353.372
69.49541304722221,-49.70105658055556,953.1661,1.03333,172,2009,-459165.168
69.49541304722221,-49.70105658055556,953.1663,1.04167,172,2009,495026.193
69.49541304722221,-49.701056577777784,953.1664,1.05000,172,2009,449218.040
69.49541304444443,-49.701056577777784,953.1659,1.05833,172,2009,403409.746
69.49541304444443,-49.70105657500001,953.1648,1.06667,172,2009,357602.664
69.49541304166668,-49.701056577777784,953.1638,1.07500,172,2009,311796.760
69.49541304722221,-49.701056591666685,953.1626,1.08333,172,2009,265993.738
69.49541304722221,-49.70105660277779,953.1621,1.09167,172,2009,220191.979
69.49541305,-49.70105660833334,953.1614,1.10000,172,2009,174392.769
69.49541305277778,-49.701056616666676,953.1611,1.10833,172,2009,128595.631
69.49541305555556,-49.701056633333344,953.1612,1.11667,172,2009,82801.533
69.49541305833334,-49.70105665277778,953.162,1.12500,172,2009,37006.873
69.49541305833334,-49.701056658333336,953.1625,1.13333,172,2009,-8786.086
69.49541305555556,-49.701056661111124,953.1634,1.14167,172,2009,-54577.682
69.49541305555556,-49.7010566638889,953.1639,1.15000,172,2009,-100367.788
69.49541305555556,-49.7010566638889,953.1642,1.15833,172,2009,-146157.522
69.49541305277778,-49.70105667222223,953.1642,1.16667,172,2009,-191946.818
69.49541305277778,-49.70105667222223,953.1645,1.17500,172,2009,-237735.679
69.49541305277778,-49.701056683333334,953.164,1.18333,172,2009,-283523.028
69.49541305555556,-49.701056694444446,953.1627,1.19167,172,2009,-329308.929
69.49541305555556,-49.701056705555565,953.1619,1.20000,172,2009,-375094.163
69.49541305833334,-49.701056719444445,953.1602,1.20833,172,2009,-420877.945
